0.005,234.3
0.01,195.7
0.015,195.7
0.02,197.9
0.025,196.1
0.03,196.7
0.035,195.8
0.04,197.0
0.045,196.1
0.05,198.1
0.055,195.0
0.06,199.5
0.065,219.9
0.07,195.6
0.075,194.7
0.08,196.6
0.085,277.2
0.09,276.1
0.095,274.7
0.1,272.6
0.105,280.6
0.11,273.1
0.115,274.4
0.12,267.8
0.125,271.7
0.13,272.8
0.135,290.0
0.14,272.1
0.145,278.4
0.15,285.4
0.155,271.7
0.16,273.2
0.165,272.5
0.17,273.9
0.175,272.4
0.18,274.2
0.185,273.8
0.19,273.1
0.195,273.9
0.2,274.9
0.205,273.6
0.21,272.7
0.215,301.0
0.22,273.3
0.225,286.8
0.23,273.7
0.235,273.5
0.24,272.4
0.245,273.0
0.25,273.6
