0.005,245.0
0.01,201.7
0.015,203.0
0.02,204.1
0.025,204.9
0.03,202.2
0.035,202.1
0.04,203.0
0.045,202.3
0.05,203.1
0.055,202.9
0.06,204.0
0.065,202.0
0.07,202.6
0.075,202.9
0.08,202.9
0.085,201.9
0.09,202.7
0.095,203.0
0.1,202.9
0.105,202.9
0.11,202.3
0.115,203.2
0.12,203.2
0.125,202.2
0.13,202.6
0.135,203.2
0.14,203.4
0.145,202.8
0.15,202.5
0.155,202.5
0.16,202.9
0.165,203.1
0.17,203.1
0.175,202.9
0.18,202.9
0.185,202.9
0.19,203.8
0.195,202.8
0.2,202.0
0.205,203.5
0.21,202.9
0.215,202.8
0.22,204.9
0.225,202.5
0.23,202.5
0.235,202.8
0.24,203.4
0.245,206.3
0.25,202.4
